lastname,firstname,title,year,volume,ID
Laube,Heinrich,Eine Tyroler Geschichte,1837,,Heinrich_Laube_-_Eine_Tyroler_Geschichte_(1837)
Gotthelf,Jeremias,Jakobs des Handwerksgesellen Wanderungen durch die Schweiz,1846,,Jeremias_Gotthelf_-_Jakobs_des_Handwerksgesellen_Wanderungen_durch_die_Schweiz_(1846)
Schlaf,Johannes,In Dingsda,1892,,Johannes_Schlaf_-_In_Dingsda_(1892)
Meinhold,Wilhelm,Die Bernsteinhexe Maria Schweidler,1841,,Wilhelm_Meinhold_-_Die_Bernsteinhexe_Maria_Schweidler_(1841)
Laube,Heinrich,Reisenovellen,1834,Band 2,Heinrich_Laube_-_Reisenovellen_-_Band_2_(1834)
Wichert,Ernst,Der Bürgermeister von Thorn,1902,,Ernst_Wichert_-_Der_Bürgermeister_von_Thorn_(1902)
Schickele,René,Die Witwe Bosca,1933,,René_Schickele_-_Die_Witwe_Bosca_(1933)
Marlitt,Eugenie,Die zweite Frau,1874,,Eugenie_Marlitt_-_Die_zweite_Frau_(1874)
Meredith,George,Richard Feverel,1859,,George_Meredith_-_Richard_Feverel_(1859)
Fontane,Theodor,Vor dem Sturm,1878,,Theodor_Fontane_-_Vor_dem_Sturm_(1878)
Raabe,Wilhelm,Drei Federn,1865,,Wilhelm_Raabe_-_Drei_Federn_(1865)
Marlitt,Eugenie,Das Eulenhaus,1888,,Eugenie_Marlitt_-_Das_Eulenhaus_(1888)
Gotthelf,Jeremias,Der Besenbinder von Rychiswyl,1852,,Jeremias_Gotthelf_-_Der_Besenbinder_von_Rychiswyl_(1852)
Hackländer,FW,Vier Könige,1841,Bilder aus dem Soldatenleben,FW_Hackländer_-_Vier_Könige_-_Bilder_aus_dem_Soldatenleben_(1841)
Köppen,Edlef,Heeresbericht,1930,,Edlef_Köppen_-_Heeresbericht_(1930)
Meyrink,Gustav,Der Kardinal Napellus,1913,,Gustav_Meyrink_-_Der_Kardinal_Napellus_(1913)
Wassermann,Jakob,Drei Erzählungen,1903,,Jakob_Wassermann_-_Drei_Erzählungen_(1903)
Möllhausen,Balduin,Das Mormonenmädchen. Band I,1864,,Balduin_Möllhausen_-_Das_Mormonenmädchen._Band_I_(1864)
Schnitzler,Arthur,Casanovas Heimfahrt,1918,,Arthur_Schnitzler_-_Casanovas_Heimfahrt_(1918)
Folz,Hans,Die Hose des Buhlers,1490,,Hans_Folz_-_Die_Hose_des_Buhlers_(1490)
Bierbaum,Otto Julius,Leberecht der Gestrenge,1910,,Otto_Julius_Bierbaum_-_Leberecht_der_Gestrenge_(1910)
Fouqué,Friedrich de la Motte,Die wunderbaren Begebenheiten des Grafen Alethes von Lindenstein,1817,,Friedrich_de_la_Motte_Fouqué_-_Die_wunderbaren_Begebenheiten_des_Grafen_Alethes_von_Lindenstein_(1817)
Dauthendey,Max,Himalajafinsternis,1928,,Max_Dauthendey_-_Himalajafinsternis_(1928)
Uhland,Ludwig,Lied der Nibelungen,1840,,Ludwig_Uhland_-_Lied_der_Nibelungen_(1840)
von Lauff,Joseph,Die Seherin von der Getter,1923,,Joseph_von_Lauff_-_Die_Seherin_von_der_Getter_(1923)
Ganghofer,Ludwig,Dschapei,1920,,Ludwig_Ganghofer_-_Dschapei_(1920)
Wichert,Ernst,Endrik Kraupatis,1882,,Ernst_Wichert_-_Endrik_Kraupatis_(1882)
Tieck,Ludwig,"Dichterleben, zweiter Theil",1831,,"Ludwig_Tieck_-_Dichterleben,_zweiter_Theil_(1831)"
Stratz,Rudolph,Der weiße Tod,1897,,Rudolph_Stratz_-_Der_weiße_Tod_(1897)
Federer,Heinrich,Sisto e Sesto,1913,,Heinrich_Federer_-_Sisto_e_Sesto_(1913)
Grasberger,Hans,Die schöne Kastellanin,1898,,Hans_Grasberger_-_Die_schöne_Kastellanin_(1898)
Paul,Jean,Hesperus oder 45 Hundposttage,1795,,Jean_Paul_-_Hesperus_oder_45_Hundposttage_(1795)
Naubert,Benedikte,Die weiße Frau,1792,,Benedikte_Naubert_-_Die_weiße_Frau_(1792)
Hoefer,Edmund,An der Grenze,1849,,Edmund_Hoefer_-_An_der_Grenze_(1849)
Kraft,Robert,Die Vestalinnen,1895,Band 5,Robert_Kraft_-_Die_Vestalinnen_-_Band_5_(1895)
Rosegger,Peter,Das Felsenbildnis,1874,,Peter_Rosegger_-_Das_Felsenbildnis_(1874)
Löns,Hermann,Mein braunes Buch,1907,,Hermann_Löns_-_Mein_braunes_Buch_(1907)
Kuhn,Gottlieb Jakob,Die Papierstreifen,1849,,Gottlieb_Jakob_Kuhn_-_Die_Papierstreifen_(1849)
Hansjakob,Heinrich,Der steinerne Mann von Hasle,1897,,Heinrich_Hansjakob_-_Der_steinerne_Mann_von_Hasle_(1897)
Fischer,Wilhelm,Wastel,1898,,Wilhelm_Fischer_-_Wastel_(1898)
Roche,Sophie von La,Geschichte des Fräuleins von Sternheim,1771,,Sophie_von_La_Roche_-_Geschichte_des_Fräuleins_von_Sternheim_(1771)
Bierbaum,Otto Julius,Emil der Verstiegene,1898,,Otto_Julius_Bierbaum_-_Emil_der_Verstiegene_(1898)
Hebel,Johann Peter,Reise nach Frankfurt,1832,,Johann_Peter_Hebel_-_Reise_nach_Frankfurt_(1832)
Ascher,Robert,Der Schuhmeier,1933,,Robert_Ascher_-_Der_Schuhmeier_(1933)
Möllhausen,Balduin,Das Mormonenmädchen. Band II,1864,,Balduin_Möllhausen_-_Das_Mormonenmädchen._Band_II_(1864)
Moritz,Karl Philipp,Anton Reiser,1790,,Karl_Philipp_Moritz_-_Anton_Reiser_(1790)
Bierbaum,Otto Julius,Pan und die Geheimräte,1897,,Otto_Julius_Bierbaum_-_Pan_und_die_Geheimräte_(1897)
Roth,Joseph,Panoptikum,1930,,Joseph_Roth_-_Panoptikum_(1930)
Ganghofer,Ludwig,Das Gotteslehen,1899,,Ludwig_Ganghofer_-_Das_Gotteslehen_(1899)
Wassermann,Jakob,Sabbatai Zewi – Donna Johanna von Castilien – Geronimo de Aguil,1925,,Jakob_Wassermann_-_Sabbatai_Zewi_–_Donna_Johanna_von_Castilien_–_Geronimo_de_Aguil_(1925)
Henckell,Carl,Der Rettungsengel,1895,,Carl_Henckell_-_Der_Rettungsengel_(1895)
Laßwitz,Kurd,Homchen,1902,,Kurd_Laßwitz_-_Homchen_(1902)
zu Reventlow,Fanny,Tot,1911,,Fanny_zu_Reventlow_-_Tot_(1911)
Groddeck,Georg,Der Seelensucher,1921,,Georg_Groddeck_-_Der_Seelensucher_(1921)
Laßwitz,Kurd,Aspira,1904,,Kurd_Laßwitz_-_Aspira_(1904)
Kopisch,August,Ein Carnevalsfest auf Ischia,1856,,August_Kopisch_-_Ein_Carnevalsfest_auf_Ischia_(1856)
Heim,Georg,Heitere Geschichten,1924,,Georg_Heim_-_Heitere_Geschichten_(1924)
Voß,Richard,Felice Leste,1889,,Richard_Voß_-_Felice_Leste_(1889)
Lamprecht,Jakob Friedrich,Alcina und Alfonso,1737,,Jakob_Friedrich_Lamprecht_-_Alcina_und_Alfonso_(1737)
Stoessl,Otto,Sonjas letzter Name,1908,,Otto_Stoessl_-_Sonjas_letzter_Name_(1908)
Zapp,Arthur,Zwischen Mann und Frau,1914,,Arthur_Zapp_-_Zwischen_Mann_und_Frau_(1914)
Spyri,Johanna,"Heidi kann brauchen, was es gelernt hat",1881,,"Johanna_Spyri_-_Heidi_kann_brauchen,_was_es_gelernt_hat_(1881)"
Frahm,Ludwig,As noch de Trankrüsel brenn',1910,,Ludwig_Frahm_-_As_noch_de_Trankrüsel_brenn'_(1910)
Marti,Hugo,Davoser Stundenbuch,1935,,Hugo_Marti_-_Davoser_Stundenbuch_(1935)
von Wolzogen,Ernst,Der Thronfolger,1892,Erster Band,Ernst_von_Wolzogen_-_Der_Thronfolger_-_Erster_Band_(1892)
Hevesi,Ludwig,Flagranti und andere Heiterkeiten,1910,,Ludwig_Hevesi_-_Flagranti_und_andere_Heiterkeiten_(1910)
Gutzkow,Karl,Imagina Unruh,1849,,Karl_Gutzkow_-_Imagina_Unruh_(1849)
Frobenius,Leo,Das schwarze Dekameron,1910,,Leo_Frobenius_-_Das_schwarze_Dekameron_(1910)
Eckstein,Ernst,Gesammelte Schulhumoresken,1907,,Ernst_Eckstein_-_Gesammelte_Schulhumoresken_(1907)
Lenz,Jakob Michael Reinhold,Empfindsamster aller Romane,1781,,Jakob_Michael_Reinhold_Lenz_-_Empfindsamster_aller_Romane_(1781)
von Kleist,Heinrich,Geistererscheinung,1811,,Heinrich_von_Kleist_-_Geistererscheinung_(1811)
Schaumberger,Heinrich,Glückliches Unglück,1874,,Heinrich_Schaumberger_-_Glückliches_Unglück_(1874)
Lienert,Meinrad,Der König von Euland,1928,,Meinrad_Lienert_-_Der_König_von_Euland_(1928)
Dahn,Felix,Am Hof Herrn Karls,1901,,Felix_Dahn_-_Am_Hof_Herrn_Karls_(1901)
Schlegel,Friedrich,Lucinde,1799,,Friedrich_Schlegel_-_Lucinde_(1799)
Heiberg,Hermann,Grevinde,1898,,Hermann_Heiberg_-_Grevinde_(1898)
Dahn,Felix,Julian der Abtrünnige,1893,,Felix_Dahn_-_Julian_der_Abtrünnige_(1893)
Appenzeller,Johann-Conrad,Ein Tag in der Diligence,1812,,Johann-Conrad_Appenzeller_-_Ein_Tag_in_der_Diligence_(1812)
Stucken,Eduard,Die weißen Götter – Erster Band,1918,,Eduard_Stucken_-_Die_weißen_Götter_–_Erster_Band_(1918)
Przybyszewski,Stanislaw,Androgyne,1900,,Stanislaw_Przybyszewski_-_Androgyne_(1900)
Dingelstedt,Franz,Die Amazone,1868,,Franz_Dingelstedt_-_Die_Amazone_(1868)
Fulda,Ludwig,Die Hochzeitsreise nach Rom,1893,,Ludwig_Fulda_-_Die_Hochzeitsreise_nach_Rom_(1893)
Berend,Alice,Die Bräutigame der Babette Bomberling,1915,,Alice_Berend_-_Die_Bräutigame_der_Babette_Bomberling_(1915)
Auerbach,Berthold,Schwarzwälder Dorfgeschichten,1843,,Berthold_Auerbach_-_Schwarzwälder_Dorfgeschichten_(1843)
Kröger,Timm,Aus alter Truhe,1908,,Timm_Kröger_-_Aus_alter_Truhe_(1908)
Bahr,Hermann,Leander,1934,,Hermann_Bahr_-_Leander_(1934)
Löns,Hermann,Kraut und Lot,1911,,Hermann_Löns_-_Kraut_und_Lot_(1911)
Keller,Gottfried,Martin Salander,1886,,Gottfried_Keller_-_Martin_Salander_(1886)
Bierbaum,Otto Julius,Nach dem Ball,1904,,Otto_Julius_Bierbaum_-_Nach_dem_Ball_(1904)
Thoma,Ludwig,Lausbubengeschichten,1905,,Ludwig_Thoma_-_Lausbubengeschichten_(1905)
Zschokke,Heinrich,Alamontade,1803,,Heinrich_Zschokke_-_Alamontade_(1803)
Tieck,Ludwig,Die schoene Magelone,1812,,Ludwig_Tieck_-_Die_schoene_Magelone_(1812)
von Eichendorff,Joseph,Das Marmorbild,1819,,Joseph_von_Eichendorff_-_Das_Marmorbild_(1819)
Binding,Rudolf G,Unsterblichkeit,1921,,Rudolf_G_Binding_-_Unsterblichkeit_(1921)
Wieland,Christoph Martin,Aristipp,1800,,Christoph_Martin_Wieland_-_Aristipp_(1800)
Ganghofer,Ludwig,Die Trutze von Trutzberg,1915,,Ludwig_Ganghofer_-_Die_Trutze_von_Trutzberg_(1915)
Ringelnatz,Joachim,Kinder-Verwirr-Buch,1931,,Joachim_Ringelnatz_-_Kinder-Verwirr-Buch_(1931)
Alexis,Willibald,Die Hosen des Herrn von Bredow,1846,,Willibald_Alexis_-_Die_Hosen_des_Herrn_von_Bredow_(1846)
Messer,Max,Wiener Bummelgeschichten,1900,,Max_Messer_-_Wiener_Bummelgeschichten_(1900)
Przybyszewski,Stanislaw,Vigilien,1895,,Stanislaw_Przybyszewski_-_Vigilien_(1895)
Seidl,Johann Gabriel,Die Schweden vor Olmütz,1843,,Johann_Gabriel_Seidl_-_Die_Schweden_vor_Olmütz_(1843)
Scheerbart,Paul,Der brennende Harem,1910,,Paul_Scheerbart_-_Der_brennende_Harem_(1910)
Wezel,Johann Karl,Herrmann und Ulrike,1780,Band 2,Johann_Karl_Wezel_-_Herrmann_und_Ulrike_-_Band_2_(1780)
von Eichendorff,Joseph,Das Schloß Dürande,1837,,Joseph_von_Eichendorff_-_Das_Schloß_Dürande_(1837)
Bindschedler,Ida,Die Turnachkinder im Winter,1909,,Ida_Bindschedler_-_Die_Turnachkinder_im_Winter_(1909)
Gutzkow,Karl,Die Ritter vom Geiste,1851,,Karl_Gutzkow_-_Die_Ritter_vom_Geiste_(1851)
von Horváth,Ödön,Kleine Prosa,1938,,Ödön_von_Horváth_-_Kleine_Prosa_(1938)
Huber,Therese,Sophie,1798,,Therese_Huber_-_Sophie_(1798)
von Hofmannsthal,Hugo,Age of Innocence,1891,,Hugo_von_Hofmannsthal_-_Age_of_Innocence_(1891)
Scherr,Johannes,Brunhild,1873,,Johannes_Scherr_-_Brunhild_(1873)
von Taura,Elfrid,Erzgebirgische Geschichten. Zweiter Band,1860,,Elfrid_von_Taura_-_Erzgebirgische_Geschichten._Zweiter_Band_(1860)
Schnitzler,Arthur,Der Weg ins Freie,1908,,Arthur_Schnitzler_-_Der_Weg_ins_Freie_(1908)
Keller,Gottfried,Die drei gerechten Kammacher,1856,,Gottfried_Keller_-_Die_drei_gerechten_Kammacher_(1856)
Rüttenauer,Benno,Der nackte Kaiser,1927,,Benno_Rüttenauer_-_Der_nackte_Kaiser_(1927)
Löns,Hermann,Dahinten in der Heide,1909,,Hermann_Löns_-_Dahinten_in_der_Heide_(1909)
von Liliencron,Detlev,Der letzte Gruß,1899,,Detlev_von_Liliencron_-_Der_letzte_Gruß_(1899)
Hackländer,FW,Namenlose Geschichten,1851,Zweiter Band,FW_Hackländer_-_Namenlose_Geschichten_-_Zweiter_Band_(1851)
Laube,Heinrich,Reisenovellen,1836,Band 4,Heinrich_Laube_-_Reisenovellen_-_Band_4_(1836)
von Ebner-Eschenbach,Marie,Oversberg,1892,,Marie_von_Ebner-Eschenbach_-_Oversberg_(1892)
Schmitz,Oscar A. H.,Bürgerliche Bohème,1925,,Oscar_A._H._Schmitz_-_Bürgerliche_Bohème_(1925)
Mügge,Theodor,Afraja,1854,,Theodor_Mügge_-_Afraja_(1854)
Lersch,Heinrich,Die Pioniere von Eilenburg,1934,,Heinrich_Lersch_-_Die_Pioniere_von_Eilenburg_(1934)
von Ebner-Eschenbach,Marie,Das Schädliche,1894,,Marie_von_Ebner-Eschenbach_-_Das_Schädliche_(1894)
von Wolzogen,Ernst,Die Kinder der Excellenz,1888,,Ernst_von_Wolzogen_-_Die_Kinder_der_Excellenz_(1888)
Hevesi,Ludwig,Regenbogen,1892,,Ludwig_Hevesi_-_Regenbogen_(1892)
May,Karl,Erkämpftes Glück Teil 1,1901,,Karl_May_-_Erkämpftes_Glück_Teil_1_(1901)
Marti,Hugo,Rumänisches Intermezzo,1926,,Hugo_Marti_-_Rumänisches_Intermezzo_(1926)
Reuter,Fritz,Ein gräflicher Geburtstag,1847,1,Fritz_Reuter_-_Ein_gräflicher_Geburtstag_-_1_(1847)
Hoffmann,ETA,Die Elixiere des Teufels,1815,,ETA_Hoffmann_-_Die_Elixiere_des_Teufels_(1815)
Falke,Gustav,Die Kinder aus Ohlsens Gang,1908,,Gustav_Falke_-_Die_Kinder_aus_Ohlsens_Gang_(1908)
Reuter,Gabriele,Ellen von der Weiden,1900,,Gabriele_Reuter_-_Ellen_von_der_Weiden_(1900)
Klabund,,Roman eines jungen Mannes,1924,,Klabund_-_Roman_eines_jungen_Mannes_(1924)
Reuter,Gabriele,Ins neue Land,1916,,Gabriele_Reuter_-_Ins_neue_Land_(1916)
Ebers,Georg,Per aspera,1892,,Georg_Ebers_-_Per_aspera_(1892)
Schnitzler,Arthur,Erbschaft,1895,,Arthur_Schnitzler_-_Erbschaft_(1895)
Hansjakob,Heinrich,Der Fürst vom Teufelstein,1897,,Heinrich_Hansjakob_-_Der_Fürst_vom_Teufelstein_(1897)
Böhlau,Helene,Ratsmädelgeschichten,1888,,Helene_Böhlau_-_Ratsmädelgeschichten_(1888)
Schickele,René,Grand'maman,1940,,René_Schickele_-_Grand'maman_(1940)
Holzamer,Wilhelm,Erzählungen,1905,,Wilhelm_Holzamer_-_Erzählungen_(1905)
Fürst,Artur,Alexander Moszkowski,1918,Meister Robinson,Artur_Fürst_-_Alexander_Moszkowski_-_Meister_Robinson_(1918)
Falke,Konrad,Der Kinderkreuzzug,1924,,Konrad_Falke_-_Der_Kinderkreuzzug_(1924)
Lewald,Fanny,Jenny,1843,,Fanny_Lewald_-_Jenny_(1843)
von Rhoden,Emmy,Der Trotzkopf,1883,,Emmy_von_Rhoden_-_Der_Trotzkopf_(1883)
Micko,Jakob,Der neue Lehrer,1900,,Jakob_Micko_-_Der_neue_Lehrer_(1900)
von Kleist,Heinrich,Der Findling,1811,,Heinrich_von_Kleist_-_Der_Findling_(1811)
Ernst,Paul,Das Buch der Liebe. Zweiter Teil,1919,,Paul_Ernst_-_Das_Buch_der_Liebe._Zweiter_Teil_(1919)
Kraze,Friede H.,Amey,1922,,Friede_H._Kraze_-_Amey_(1922)
Lersch,Heinrich,Hammerschläge,1930,,Heinrich_Lersch_-_Hammerschläge_(1930)
Grimmelshausen,,Das wunderbarliche Vogel-Nest,1672,,Grimmelshausen_-_Das_wunderbarliche_Vogel-Nest_(1672)
Hoffmann,ETA,Haimatochare,1819,,ETA_Hoffmann_-_Haimatochare_(1819)
Storm,Theodor,Hinzelmeier,1855,,Theodor_Storm_-_Hinzelmeier_(1855)
Keller,Gottfried,Dietegen,1874,,Gottfried_Keller_-_Dietegen_(1874)
Gerstäcker,Friedrich,Der erkaufte Henker,1845,,Friedrich_Gerstäcker_-_Der_erkaufte_Henker_(1845)
Reuter,Fritz,Eine Heirathsgeschichte,1855,,Fritz_Reuter_-_Eine_Heirathsgeschichte_(1855)
Storm,Theodor,Der Herr Etatsrat,1881,,Theodor_Storm_-_Der_Herr_Etatsrat_(1881)
von Heyking,Elisabeth,Ille mihi – Erster Band,1912,,Elisabeth_von_Heyking_-_Ille_mihi_–_Erster_Band_(1912)
Ringelnatz,Joachim,Erzählungen,1934,,Joachim_Ringelnatz_-_Erzählungen_(1934)
Kafka,Franz,Das Schloß,1926,,Franz_Kafka_-_Das_Schloß_(1926)
Bierbaum,Otto Julius,Patsch und Tirili,1905,,Otto_Julius_Bierbaum_-_Patsch_und_Tirili_(1905)
Nicolai,Friedrich,Geschichte eines dicken Mannes,1794,,Friedrich_Nicolai_-_Geschichte_eines_dicken_Mannes_(1794)
von François,Louise,Judith die Kluswirtin,1886,,Louise_von_François_-_Judith_die_Kluswirtin_(1886)
Raabe,Wilhelm,"Halb Mär, halb mehr",1859,,"Wilhelm_Raabe_-_Halb_Mär,_halb_mehr_(1859)"
Federer,Heinrich,Das Wunder in Holzschuhen,1919,,Heinrich_Federer_-_Das_Wunder_in_Holzschuhen_(1919)
Meinhardt,Adalbert,Auf dem Heilwigshof,1906,,Adalbert_Meinhardt_-_Auf_dem_Heilwigshof_(1906)
Hoefer,Edmund,Das verlassene Haus,1845,,Edmund_Hoefer_-_Das_verlassene_Haus_(1845)
Barthel,Max,Das unsterbliche Volk,1933,,Max_Barthel_-_Das_unsterbliche_Volk_(1933)
Walloth,Wilhelm,Im Schatten des Todes,1909,,Wilhelm_Walloth_-_Im_Schatten_des_Todes_(1909)
von Horváth,Ödön,Die stille Revolution,1938,,Ödön_von_Horváth_-_Die_stille_Revolution_(1938)
von Ebner-Eschenbach,Marie,Krambambuli,1884,,Marie_von_Ebner-Eschenbach_-_Krambambuli_(1884)
Bierbaum,Otto Julius,Stilpe,1897,,Otto_Julius_Bierbaum_-_Stilpe_(1897)
von Suttner,Bertha,Franzl und Mirzl,1905,,Bertha_von_Suttner_-_Franzl_und_Mirzl_(1905)
Meyer-Förster,Wilhelm,Lena S,1903,,Wilhelm_Meyer-Förster_-_Lena_S_(1903)
Storm,Theodor,Ein Fest auf Haderslevhuus,1885,,Theodor_Storm_-_Ein_Fest_auf_Haderslevhuus_(1885)
Nicolai,Friedrich,Freuden des jungen Werthers – Leiden und Freuden Werthers des M,1775,,Friedrich_Nicolai_-_Freuden_des_jungen_Werthers_–_Leiden_und_Freuden_Werthers_des_M_(1775)
Kabel,Walther,Der seltsame Milliardär,1933,,Walther_Kabel_-_Der_seltsame_Milliardär_(1933)
Gutzkow,Karl,"Wally, die Zweiflerin",1835,,"Karl_Gutzkow_-_Wally,_die_Zweiflerin_(1835)"
Fontane,Theodor,Mathilde Möhring,1908,,Theodor_Fontane_-_Mathilde_Möhring_(1908)
Eyth,Max,Der Kampf um die Cheopspyramide,1902,,Max_Eyth_-_Der_Kampf_um_die_Cheopspyramide_(1902)
Roth,Joseph,Radetzkymarsch,1932,,Joseph_Roth_-_Radetzkymarsch_(1932)
Nordau,Max,Die Nixe,1905,,Max_Nordau_-_Die_Nixe_(1905)
Kurz,Hermann,"Gesammelte kleinere Erzählungen, 3. Teil",1873,,"Hermann_Kurz_-_Gesammelte_kleinere_Erzählungen,_3._Teil_(1873)"
Barlach,Ernst,Der gestohlene Mond,1948,,Ernst_Barlach_-_Der_gestohlene_Mond_(1948)
Hansjakob,Heinrich,Aus dem Leben eines Glücklichen,1901,,Heinrich_Hansjakob_-_Aus_dem_Leben_eines_Glücklichen_(1901)
Klabund,,Borgia,1928,,Klabund_-_Borgia_(1928)
Schnitzler,Arthur,Sterben,1892,,Arthur_Schnitzler_-_Sterben_(1892)
Körner,Theodor,Die Reise nach Wörlitz,1810,,Theodor_Körner_-_Die_Reise_nach_Wörlitz_(1810)
Stern,Adolf,Heimkehr,1898,,Adolf_Stern_-_Heimkehr_(1898)
Bronner,Benno,Herr von Syllabus,1873,,Benno_Bronner_-_Herr_von_Syllabus_(1873)
Freytag,Gustav,Die Ahnen,1872,,Gustav_Freytag_-_Die_Ahnen_(1872)
Löns,Hermann,Die Häuser von Ohlenhof,1917,,Hermann_Löns_-_Die_Häuser_von_Ohlenhof_(1917)
Kafka,Franz,Die Sorge des Hausvaters,1916,,Franz_Kafka_-_Die_Sorge_des_Hausvaters_(1916)
Meyrink,Gustav,Das Grillenspiel,1913,,Gustav_Meyrink_-_Das_Grillenspiel_(1913)
Tieck,Ludwig,Der Mondsüchtige,1832,,Ludwig_Tieck_-_Der_Mondsüchtige_(1832)
Tieck,Ludwig,Die Gemälde,1821,,Ludwig_Tieck_-_Die_Gemälde_(1821)
Nathusius,Marie,Elisabeth. I. Band,1858,,Marie_Nathusius_-_Elisabeth._I._Band_(1858)
Wildermuth,Ottilie,Krieg und Frieden,1862,,Ottilie_Wildermuth_-_Krieg_und_Frieden_(1862)
Hackländer,FW,Das Geheimniß der Stadt,1868,,FW_Hackländer_-_Das_Geheimniß_der_Stadt_(1868)
Heiberg,Hermann,Versteckte Quellen,1896,,Hermann_Heiberg_-_Versteckte_Quellen_(1896)
von Sacher-Masoch,Leopold,Matrena,1890,,Leopold_von_Sacher-Masoch_-_Matrena_(1890)
Steub,Ludwig,Novellen und Schilderungen,1853,,Ludwig_Steub_-_Novellen_und_Schilderungen_(1853)
Storm,Theodor,In St Jürgen,1867,,Theodor_Storm_-_In_St_Jürgen_(1867)
Hunold,Christian Friedrich,Die schöne Kaufmannsfrau,1706,,Christian_Friedrich_Hunold_-_Die_schöne_Kaufmannsfrau_(1706)
Gutzkow,Karl,Der Zauberer von Rom. VIII. Buch,1858,,Karl_Gutzkow_-_Der_Zauberer_von_Rom._VIII._Buch_(1858)
Stelzhamer,Franz,Der blinde Knabe,1847,,Franz_Stelzhamer_-_Der_blinde_Knabe_(1847)
Spitteler,Carl,Imago,1906,,Carl_Spitteler_-_Imago_(1906)
Heimann,Moritz,Die Tobias-Vase,1921,,Moritz_Heimann_-_Die_Tobias-Vase_(1921)
Gotthelf,Jeremias,Die Frau Pfarrerin,1854,,Jeremias_Gotthelf_-_Die_Frau_Pfarrerin_(1854)
Auerbach,Berthold,Die Geschichte des Diethelm von Buchenberg,1852,,Berthold_Auerbach_-_Die_Geschichte_des_Diethelm_von_Buchenberg_(1852)
Kafka,Franz,Das Schweigen der Sirenen,1916,,Franz_Kafka_-_Das_Schweigen_der_Sirenen_(1916)
von Hofmannsthal,Hugo,Der Brief des letzten Contarin,1902,,Hugo_von_Hofmannsthal_-_Der_Brief_des_letzten_Contarin_(1902)
Laßwitz,Kurd,Auf zwei Planeten,1897,,Kurd_Laßwitz_-_Auf_zwei_Planeten_(1897)
Müller-Partenkirchen,Fritz,München,1925,,Fritz_Müller-Partenkirchen_-_München_(1925)
Wolff,Julius,Das Wildfangrecht,1907,,Julius_Wolff_-_Das_Wildfangrecht_(1907)
Treller,Franz,Der Sohn des Gaucho,1901,,Franz_Treller_-_Der_Sohn_des_Gaucho_(1901)
Müller-Guttenbrunn,Adam,Meister Jakob und seine Kinder,1017,,Adam_Müller-Guttenbrunn_-_Meister_Jakob_und_seine_Kinder_(1017)
Müller-Guttenbrunn,Adam,Die schöne Lotti und andere Damen,1920,,Adam_Müller-Guttenbrunn_-_Die_schöne_Lotti_und_andere_Damen_(1920)
Ernst,Paul,Grün aus Trümmern,1923,,Paul_Ernst_-_Grün_aus_Trümmern_(1923)
Kafka,Franz,Der Riesenmaulwurf,1915,,Franz_Kafka_-_Der_Riesenmaulwurf_(1915)
Stratz,Rudolph,König und Kärrner,1914,,Rudolph_Stratz_-_König_und_Kärrner_(1914)
Ertl,Emil,Im Haus zum Seidenbaum,1926,,Emil_Ertl_-_Im_Haus_zum_Seidenbaum_(1926)
Pastor,Willy,Der Tod des Judas,1895,,Willy_Pastor_-_Der_Tod_des_Judas_(1895)
von Ompteda,Georg Freiherr,Denise de Montmidi,1904,,Georg_Freiherr_von_Ompteda_-_Denise_de_Montmidi_(1904)
Panizza,Oskar,Deutsche Thesen gegen den Papst und seine Dunkelmänner,1894,,Oskar_Panizza_-_Deutsche_Thesen_gegen_den_Papst_und_seine_Dunkelmänner_(1894)
Laßwitz,Kurd,Verschiedene Erzählungen,1902,,Kurd_Laßwitz_-_Verschiedene_Erzählungen_(1902)
Heiberg,Hermann,Wer will richten,1896,,Hermann_Heiberg_-_Wer_will_richten_(1896)
Lindau,Paul,Der König von Sidon,1898,,Paul_Lindau_-_Der_König_von_Sidon_(1898)
Schneider-Foerstl,Josephine,Die Liebe des Geigerkönigs Radanyi,1926,,Josephine_Schneider-Foerstl_-_Die_Liebe_des_Geigerkönigs_Radanyi_(1926)
Böhlau,Helene,Die alten Leutchen,1886,,Helene_Böhlau_-_Die_alten_Leutchen_(1886)
Spielhagen,Friedrich,Frei geboren,1900,,Friedrich_Spielhagen_-_Frei_geboren_(1900)
Gotthelf,Jeremias,Wie Uli der Knecht glücklich wird,1841,,Jeremias_Gotthelf_-_Wie_Uli_der_Knecht_glücklich_wird_(1841)
Sturza,Marie Tihanyi Gräfin,Das Gelübde einer dreißigjährigen Frau,1905,,Marie_Tihanyi_Gräfin_Sturza_-_Das_Gelübde_einer_dreißigjährigen_Frau_(1905)
Willkomm,Ernst,Der Halligmann,1854,,Ernst_Willkomm_-_Der_Halligmann_(1854)
Steub,Ludwig,Der schwarze Gast,1863,,Ludwig_Steub_-_Der_schwarze_Gast_(1863)
Gerstäcker,Friedrich,Der Kunstreiter,1861,,Friedrich_Gerstäcker_-_Der_Kunstreiter_(1861)
Fontane,Theodor,Graf Petöfy,1884,,Theodor_Fontane_-_Graf_Petöfy_(1884)
Böhlau,Helene,Der schöne Valentin,1886,,Helene_Böhlau_-_Der_schöne_Valentin_(1886)
Klabund,,Oktavian und Mark Anton,1928,,Klabund_-_Oktavian_und_Mark_Anton_(1928)
